sku,tier_price_website,tier_price_customer_group,tier_price_qty,tier_price,errors
4308,prof,7,0,28,"Tier Price customer group is invalid"
4942,prof,527,0,11,"Tier Price customer group is invalid"
4308,prof,46,0,28,"Tier Price customer group is invalid"
4308,prof,106,0,28,"Tier Price customer group is invalid"
4308,prof,135,0,24.3,"Tier Price customer group is invalid"
4308,prof,469,0,28,"Tier Price customer group is invalid"
4308,prof,559,0,28,"Tier Price customer group is invalid"
4308,prof,1045,0,24.3,
4308,prof,9,0,28,"Tier Price customer group is invalid"
4308,prof,31,0,28,"Tier Price customer group is invalid"
4308,prof,45,0,28,"Tier Price customer group is invalid"
4308,prof,48,0,28,"Tier Price customer group is invalid"
4308,prof,49,0,28,"Tier Price customer group is invalid"
4308,prof,61,0,28,"Tier Price customer group is invalid"
4308,prof,62,0,28,"Tier Price customer group is invalid"
4308,prof,65,0,24.3,"Tier Price customer group is invalid"
4308,prof,67,0,28,"Tier Price customer group is invalid"
4308,prof,74,0,28,"Tier Price customer group is invalid"
4308,prof,82,0,28,"Tier Price customer group is invalid"
4308,prof,88,0,28,"Tier Price customer group is invalid"
4308,prof,90,0,28,"Tier Price customer group is invalid"
4308,prof,1225,0,35,"Tier Price customer group is invalid"
4308,prof,221,0,28,"Tier Price customer group is invalid"
4308,prof,226,0,28,"Tier Price customer group is invalid"
4308,prof,227,0,28,"Tier Price customer group is invalid"
4308,prof,252,0,24.3,"Tier Price customer group is invalid"
4308,prof,253,0,28,"Tier Price customer group is invalid"
4308,prof,256,0,28,"Tier Price customer group is invalid"
4308,prof,262,0,28,"Tier Price customer group is invalid"
4308,prof,275,0,28,"Tier Price customer group is invalid"
4308,prof,300,0,28,"Tier Price customer group is invalid"
4308,prof,307,0,28,"Tier Price customer group is invalid"
4308,prof,351,0,28,"Tier Price customer group is invalid"
4308,prof,365,0,28,"Tier Price customer group is invalid"
4308,prof,464,0,28,"Tier Price customer group is invalid"
4308,prof,465,0,28,"Tier Price customer group is invalid"
4308,prof,468,0,28,"Tier Price customer group is invalid"
4308,prof,474,0,35,"Tier Price customer group is invalid"
4308,prof,538,0,28,"Tier Price customer group is invalid"
4308,prof,540,0,28,"Tier Price customer group is invalid"
4308,prof,542,0,28,"Tier Price customer group is invalid"
4308,prof,546,0,28,"Tier Price customer group is invalid"
4308,prof,552,0,28,"Tier Price customer group is invalid"
4308,prof,555,0,28,"Tier Price customer group is invalid"
4308,prof,650,0,28,"Tier Price customer group is invalid"
4308,prof,655,0,24.3,"Tier Price customer group is invalid"
4308,prof,708,0,24.3,"Tier Price customer group is invalid"
4308,prof,713,0,28,"Tier Price customer group is invalid"
4308,prof,726,0,28,"Tier Price customer group is invalid"
4308,prof,734,0,28,"Tier Price customer group is invalid"
4308,prof,738,0,28,"Tier Price customer group is invalid"
4308,prof,751,0,28,"Tier Price customer group is invalid"
4308,prof,779,0,28,"Tier Price customer group is invalid"
4308,prof,818,0,28,"Tier Price customer group is invalid"
4308,prof,1463,0,28,"Tier Price customer group is invalid"
4308,prof,1469,0,28,"Tier Price customer group is invalid"
4308,prof,1481,0,35,"Tier Price customer group is invalid"
4308,prof,1492,0,24.3,
4308,prof,165,0,28,"Tier Price customer group is invalid"
4308,prof,206,0,28,"Tier Price customer group is invalid"
4308,prof,438,0,28,"Tier Price customer group is invalid"
4308,prof,167,0,28,"Tier Price customer group is invalid"
4308,prof,222,0,24.3,"Tier Price customer group is invalid"
4308,prof,231,0,28,"Tier Price customer group is invalid"
4308,prof,458,0,28,"Tier Price customer group is invalid"
4308,prof,189,0,28,"Tier Price customer group is invalid"
4308,prof,193,0,24.3,"Tier Price customer group is invalid"
4308,prof,195,0,28,"Tier Price customer group is invalid"
4308,prof,203,0,28,"Tier Price customer group is invalid"
4308,prof,95,0,28,"Tier Price customer group is invalid"
4308,prof,107,0,28,"Tier Price customer group is invalid"
4308,prof,113,0,28,"Tier Price customer group is invalid"
4308,prof,136,0,28,"Tier Price customer group is invalid"
4308,prof,139,0,28,"Tier Price customer group is invalid"
4308,prof,141,0,28,"Tier Price customer group is invalid"
4308,prof,142,0,28,"Tier Price customer group is invalid"
4308,prof,151,0,28,"Tier Price customer group is invalid"
4308,prof,156,0,28,"Tier Price customer group is invalid"
4308,prof,157,0,28,"Tier Price customer group is invalid"
4308,prof,164,0,28,"Tier Price customer group is invalid"
4308,prof,170,0,28,"Tier Price customer group is invalid"
4308,prof,172,0,28,"Tier Price customer group is invalid"
4308,prof,175,0,28,"Tier Price customer group is invalid"
4308,prof,180,0,24.3,"Tier Price customer group is invalid"
4308,prof,204,0,28,"Tier Price customer group is invalid"
4308,prof,205,0,28,"Tier Price customer group is invalid"
4308,prof,208,0,28,"Tier Price customer group is invalid"
4308,prof,210,0,28,"Tier Price customer group is invalid"
4308,prof,213,0,28,"Tier Price customer group is invalid"
4308,prof,216,0,28,"Tier Price customer group is invalid"
4308,prof,248,0,28,"Tier Price customer group is invalid"
4308,prof,293,0,28,"Tier Price customer group is invalid"
4308,prof,305,0,28,"Tier Price customer group is invalid"
4308,prof,374,0,28,"Tier Price customer group is invalid"
4308,prof,407,0,28,"Tier Price customer group is invalid"
4308,prof,421,0,28,"Tier Price customer group is invalid"
4308,prof,754,0,28,"Tier Price customer group is invalid"
4308,prof,21,0,28,"Tier Price customer group is invalid"
4308,prof,26,0,24.3,"Tier Price customer group is invalid"
4308,prof,27,0,28,"Tier Price customer group is invalid"
4308,prof,37,0,28,"Tier Price customer group is invalid"
4308,prof,41,0,28,"Tier Price customer group is invalid"
4308,prof,53,0,24.3,"Tier Price customer group is invalid"
4308,prof,84,0,28,"Tier Price customer group is invalid"
4308,prof,108,0,28,"Tier Price customer group is invalid"
4308,prof,126,0,28,"Tier Price customer group is invalid"
4308,prof,405,0,24.3,"Tier Price customer group is invalid"
4308,prof,104,0,24.3,"Tier Price customer group is invalid"
4308,prof,24,0,28,"Tier Price customer group is invalid"
4308,prof,232,0,28,"Tier Price customer group is invalid"
4308,prof,233,0,28,"Tier Price customer group is invalid"
4308,prof,241,0,28,"Tier Price customer group is invalid"
4308,prof,318,0,28,"Tier Price customer group is invalid"
4308,prof,424,0,28,"Tier Price customer group is invalid"
4308,prof,426,0,24.3,"Tier Price customer group is invalid"
4308,prof,427,0,24.3,"Tier Price customer group is invalid"
4308,prof,429,0,28,"Tier Price customer group is invalid"
4308,prof,434,0,28,"Tier Price customer group is invalid"
4308,prof,435,0,28,"Tier Price customer group is invalid"
4308,prof,436,0,28,"Tier Price customer group is invalid"
4308,prof,441,0,28,"Tier Price customer group is invalid"
4308,prof,442,0,28,"Tier Price customer group is invalid"
4308,prof,446,0,28,"Tier Price customer group is invalid"
4308,prof,450,0,28,"Tier Price customer group is invalid"
4308,prof,478,0,28,"Tier Price customer group is invalid"
4308,prof,169,0,28,"Tier Price customer group is invalid"
4308,prof,185,0,28,"Tier Price customer group is invalid"
4308,prof,220,0,28,"Tier Price customer group is invalid"
4308,prof,503,0,28,"Tier Price customer group is invalid"
4308,prof,504,0,28,"Tier Price customer group is invalid"
4308,prof,525,0,28,"Tier Price customer group is invalid"
4308,prof,526,0,28,"Tier Price customer group is invalid"
4308,prof,20,0,28,"Tier Price customer group is invalid"
4308,prof,463,0,24.3,"Tier Price customer group is invalid"
4308,prof,386,0,28,"Tier Price customer group is invalid"
4308,prof,264,0,28,"Tier Price customer group is invalid"
4308,prof,265,0,24.3,"Tier Price customer group is invalid"
4308,prof,271,0,28,"Tier Price customer group is invalid"
4308,prof,273,0,28,"Tier Price customer group is invalid"
4308,prof,280,0,28,"Tier Price customer group is invalid"
4308,prof,291,0,28,"Tier Price customer group is invalid"
4308,prof,1482,0,28,
4308,prof,1490,0,28,
4308,prof,97,0,24.3,"Tier Price customer group is invalid"
4308,prof,153,0,28,"Tier Price customer group is invalid"
4308,prof,489,0,28,"Tier Price customer group is invalid"
4308,prof,493,0,28,"Tier Price customer group is invalid"
4308,prof,560,0,28,"Tier Price customer group is invalid"
4308,prof,571,0,28,"Tier Price customer group is invalid"
4308,prof,635,0,28,"Tier Price customer group is invalid"
4308,prof,512,0,28,"Tier Price customer group is invalid"
4308,prof,514,0,28,"Tier Price customer group is invalid"
4308,prof,520,0,28,"Tier Price customer group is invalid"
4308,prof,200,0,28,"Tier Price customer group is invalid"
4308,prof,125,0,28,"Tier Price customer group is invalid"
4308,prof,564,0,28,"Tier Price customer group is invalid"
4308,prof,160,0,28,"Tier Price customer group is invalid"
4308,prof,243,0,28,"Tier Price customer group is invalid"
4308,prof,246,0,28,"Tier Price customer group is invalid"
4308,prof,527,0,28,"Tier Price customer group is invalid"
4942,prof,46,0,11,"Tier Price customer group is invalid"
4942,prof,106,0,11,"Tier Price customer group is invalid"
4942,prof,135,0,11,"Tier Price customer group is invalid"
4942,prof,469,0,11,"Tier Price customer group is invalid"
4942,prof,559,0,11,"Tier Price customer group is invalid"
4942,prof,1045,0,11,
4942,prof,9,0,11,"Tier Price customer group is invalid"
4942,prof,31,0,11,"Tier Price customer group is invalid"
4942,prof,45,0,11,"Tier Price customer group is invalid"
4942,prof,48,0,11,"Tier Price customer group is invalid"
4942,prof,49,0,11,"Tier Price customer group is invalid"
4942,prof,61,0,11,"Tier Price customer group is invalid"
4942,prof,62,0,11,"Tier Price customer group is invalid"
4942,prof,65,0,11,"Tier Price customer group is invalid"
4942,prof,67,0,11,"Tier Price customer group is invalid"
4942,prof,74,0,11,"Tier Price customer group is invalid"
4942,prof,82,0,11,"Tier Price customer group is invalid"
4942,prof,88,0,11,"Tier Price customer group is invalid"
4942,prof,90,0,11,"Tier Price customer group is invalid"
4942,prof,1225,0,15.75,"Tier Price customer group is invalid"
4942,prof,221,0,11,"Tier Price customer group is invalid"
4942,prof,226,0,11,"Tier Price customer group is invalid"
4942,prof,227,0,11,"Tier Price customer group is invalid"
4942,prof,252,0,11,"Tier Price customer group is invalid"
4942,prof,253,0,11,"Tier Price customer group is invalid"
4942,prof,256,0,11,"Tier Price customer group is invalid"
4942,prof,262,0,11,"Tier Price customer group is invalid"
4942,prof,275,0,11,"Tier Price customer group is invalid"
4942,prof,300,0,11,"Tier Price customer group is invalid"
4942,prof,307,0,11,"Tier Price customer group is invalid"
4942,prof,351,0,11,"Tier Price customer group is invalid"
4942,prof,365,0,11,"Tier Price customer group is invalid"
4942,prof,464,0,11,"Tier Price customer group is invalid"
4942,prof,465,0,11,"Tier Price customer group is invalid"
4942,prof,468,0,11,"Tier Price customer group is invalid"
4942,prof,474,0,15.75,"Tier Price customer group is invalid"
4942,prof,538,0,11,"Tier Price customer group is invalid"
4942,prof,540,0,11,"Tier Price customer group is invalid"
4942,prof,542,0,11,"Tier Price customer group is invalid"
4942,prof,546,0,11,"Tier Price customer group is invalid"
4942,prof,552,0,11,"Tier Price customer group is invalid"
4942,prof,555,0,11,"Tier Price customer group is invalid"
4942,prof,650,0,11,"Tier Price customer group is invalid"
4942,prof,655,0,11,"Tier Price customer group is invalid"
4942,prof,708,0,11,"Tier Price customer group is invalid"
4942,prof,713,0,11,"Tier Price customer group is invalid"
4942,prof,726,0,11,"Tier Price customer group is invalid"
4942,prof,734,0,11,"Tier Price customer group is invalid"
4942,prof,738,0,11,"Tier Price customer group is invalid"
4942,prof,751,0,11,"Tier Price customer group is invalid"
4942,prof,779,0,11,"Tier Price customer group is invalid"
4942,prof,818,0,11,"Tier Price customer group is invalid"
4942,prof,1463,0,11,"Tier Price customer group is invalid"
4942,prof,1469,0,11,"Tier Price customer group is invalid"
4942,prof,1481,0,15.75,"Tier Price customer group is invalid"
4942,prof,1492,0,11,
4942,prof,165,0,11,"Tier Price customer group is invalid"
4942,prof,206,0,11,"Tier Price customer group is invalid"
4942,prof,438,0,11,"Tier Price customer group is invalid"
4942,prof,167,0,11,"Tier Price customer group is invalid"
4942,prof,222,0,11,"Tier Price customer group is invalid"
4942,prof,231,0,11,"Tier Price customer group is invalid"
4942,prof,458,0,11,"Tier Price customer group is invalid"
4942,prof,189,0,11,"Tier Price customer group is invalid"
4942,prof,193,0,11,"Tier Price customer group is invalid"
4942,prof,195,0,11,"Tier Price customer group is invalid"
4942,prof,203,0,11,"Tier Price customer group is invalid"
4942,prof,95,0,11,"Tier Price customer group is invalid"
4942,prof,107,0,11,"Tier Price customer group is invalid"
4942,prof,113,0,11,"Tier Price customer group is invalid"
4942,prof,136,0,11,"Tier Price customer group is invalid"
4942,prof,139,0,11,"Tier Price customer group is invalid"
4942,prof,141,0,11,"Tier Price customer group is invalid"
4942,prof,142,0,11,"Tier Price customer group is invalid"
4942,prof,151,0,11,"Tier Price customer group is invalid"
4942,prof,156,0,11,"Tier Price customer group is invalid"
4942,prof,157,0,11,"Tier Price customer group is invalid"
4942,prof,164,0,11,"Tier Price customer group is invalid"
4942,prof,170,0,11,"Tier Price customer group is invalid"
4942,prof,172,0,11,"Tier Price customer group is invalid"
4942,prof,175,0,11,"Tier Price customer group is invalid"
4942,prof,180,0,11,"Tier Price customer group is invalid"
4942,prof,204,0,11,"Tier Price customer group is invalid"
4942,prof,205,0,11,"Tier Price customer group is invalid"
4942,prof,208,0,11,"Tier Price customer group is invalid"
4942,prof,210,0,11,"Tier Price customer group is invalid"
4942,prof,213,0,11,"Tier Price customer group is invalid"
4942,prof,216,0,11,"Tier Price customer group is invalid"
4942,prof,248,0,11,"Tier Price customer group is invalid"
4942,prof,293,0,11,"Tier Price customer group is invalid"
4942,prof,305,0,11,"Tier Price customer group is invalid"
4942,prof,374,0,11,"Tier Price customer group is invalid"
4942,prof,407,0,11,"Tier Price customer group is invalid"
4942,prof,421,0,11,"Tier Price customer group is invalid"
4942,prof,754,0,11,"Tier Price customer group is invalid"
4942,prof,21,0,11,"Tier Price customer group is invalid"
4942,prof,26,0,11,"Tier Price customer group is invalid"
4942,prof,27,0,11,"Tier Price customer group is invalid"
4942,prof,37,0,11,"Tier Price customer group is invalid"
4942,prof,41,0,11,"Tier Price customer group is invalid"
4942,prof,53,0,11,"Tier Price customer group is invalid"
4942,prof,84,0,11,"Tier Price customer group is invalid"
4942,prof,108,0,11,"Tier Price customer group is invalid"
4942,prof,126,0,11,"Tier Price customer group is invalid"
4942,prof,7,0,11,"Tier Price customer group is invalid"
4942,prof,405,0,11,"Tier Price customer group is invalid"
4942,prof,104,0,11,"Tier Price customer group is invalid"
4942,prof,24,0,11,"Tier Price customer group is invalid"
4942,prof,232,0,11,"Tier Price customer group is invalid"
4942,prof,233,0,11,"Tier Price customer group is invalid"
4942,prof,241,0,11,"Tier Price customer group is invalid"
4942,prof,318,0,11,"Tier Price customer group is invalid"
4942,prof,424,0,11,"Tier Price customer group is invalid"
4942,prof,426,0,11,"Tier Price customer group is invalid"
4942,prof,427,0,11,"Tier Price customer group is invalid"
4942,prof,429,0,11,"Tier Price customer group is invalid"
4942,prof,434,0,11,"Tier Price customer group is invalid"
4942,prof,435,0,11,"Tier Price customer group is invalid"
4942,prof,436,0,11,"Tier Price customer group is invalid"
4942,prof,441,0,11,"Tier Price customer group is invalid"
4942,prof,442,0,11,"Tier Price customer group is invalid"
4942,prof,446,0,11,"Tier Price customer group is invalid"
4942,prof,450,0,11,"Tier Price customer group is invalid"
4942,prof,478,0,11,"Tier Price customer group is invalid"
4942,prof,169,0,11,"Tier Price customer group is invalid"
4942,prof,185,0,11,"Tier Price customer group is invalid"
4942,prof,220,0,11,"Tier Price customer group is invalid"
4942,prof,503,0,11,"Tier Price customer group is invalid"
4942,prof,504,0,11,"Tier Price customer group is invalid"
4942,prof,525,0,11,"Tier Price customer group is invalid"
4942,prof,526,0,11,"Tier Price customer group is invalid"
4942,prof,20,0,11,"Tier Price customer group is invalid"
4942,prof,463,0,11,"Tier Price customer group is invalid"
4942,prof,386,0,11,"Tier Price customer group is invalid"
4942,prof,264,0,11,"Tier Price customer group is invalid"
4942,prof,265,0,11,"Tier Price customer group is invalid"
4942,prof,271,0,11,"Tier Price customer group is invalid"
4942,prof,273,0,11,"Tier Price customer group is invalid"
4942,prof,280,0,11,"Tier Price customer group is invalid"
4942,prof,291,0,11,"Tier Price customer group is invalid"
4942,prof,1482,0,11,
4942,prof,1490,0,11,
4942,prof,97,0,11,"Tier Price customer group is invalid"
4942,prof,153,0,11,"Tier Price customer group is invalid"
4942,prof,489,0,11,"Tier Price customer group is invalid"
4942,prof,493,0,11,"Tier Price customer group is invalid"
4942,prof,560,0,11,"Tier Price customer group is invalid"
4942,prof,571,0,11,"Tier Price customer group is invalid"
4942,prof,635,0,11,"Tier Price customer group is invalid"
4942,prof,512,0,11,"Tier Price customer group is invalid"
4942,prof,514,0,11,"Tier Price customer group is invalid"
4942,prof,520,0,11,"Tier Price customer group is invalid"
4942,prof,200,0,11,"Tier Price customer group is invalid"
4942,prof,125,0,11,"Tier Price customer group is invalid"
4942,prof,564,0,11,"Tier Price customer group is invalid"
4942,prof,160,0,11,"Tier Price customer group is invalid"
4942,prof,243,0,11,"Tier Price customer group is invalid"
4942,prof,246,0,11,"Tier Price customer group is invalid"
